Song name,Patterns,Patterns.1,Patterns.2,Patterns.3,Patterns.4,Labeler,Accuracy
Club,16th Jump-Jacks,16th Jacks,16th Jacks,,,Rapta,Certain
"Form, Part 1",4th Jump-Jacks,,,,,Rapta,Certain
AAA,16th Jump-Streams,16th Streams,,,,Rapta,Certain
Shindeiru,48th Bursts,32nd Trills,24th Jump-Jacks,24th Jacks,,Rapta,Uncertain
Apologize,16th Hand-Jacks,16th Hand-Streams,,,,Rapta,Certain
Serious Shit,16th Jump-Streams,16th Trills,,,,Rapta,Certain
"Kono spoon, suteki desu ne",32nd Split-Rolls,32nd Rolls,12th Streams,16th One-Hand-Trills,,Rapta,Certain
AIM Anthem,16th Split-Jump-Jacks,16th Jacks,16th Jump-Gluts,,,Rapta,Certain
Good Computers,8th Hand-Streams,8th Jump-Streams,,,,Rapta,Certain
Guitar Vs. Piano,8th Mini-Jacks,8th Jacks,16th One-Hand-Trills,,,Pizza69,Certain
The Basement Community,16th Jump-Streams,24th Streams,16th Mini-Jacks,,,Pizza69,Certain
Start Over,16th Jump-Gluts,16th Mini-Jacks,16th Jump-Streams,24th Streams,,Pizza69,Certain
A Baptist Church,64th Flams,32nd Streams,,,,Pizza69,Certain
No Time For Sleep,64th Bursts,16th Jump-Streams,24th Rolls,,,Pizza69,Certain
Gameshow Suitcase,48th Bursts,32nd Streams,,,,Pizza69,Certain
The Little Devil's Heart-Pounding Amusement Park [Heavy],16th Jump-Streams,32nd Bursts,8th Jacks,,,Pizza69,Certain
{Evolution} Out Stage,16th Jump-Gluts,16th Jump-Streams,32nd Trills,32nd Rolls,,rushyrulz,Certain
Try This,16th Trills,Flams,8th Anchors,,,rushyrulz,Certain
That Distant Shore,24th Bursts,8th Jump-Stream,8th Stream,,,rushyrulz,Certain
Let's Get Crunk,16th Mini-Jacks,16th Dense Jump-Stream,Bursts,,,rushyrulz,Certain
Error Code,16th Jacks  mini-Jacks,32nd Bursts,16th Jump-Stream,Flams,,rushyrulz,Uncertain
Anaphylaxis,24th Jump-Streams,24th Split-Jump-Trills,24th Jump-Trills,24th Trills,,storn42,Uncertain
Anywhere But Here,16th Bursts,8th Jump-Gluts,16th Jacks,,,storn42,Uncertain
"Bloody Mary, Kate And Ashley",12th Jump-Gluts,24th Streams,,,,storn42,Uncertain
Bricks [Standard],16th Jump-Streams,8th Jump-Gluts,16th Trills,16th Anchors,,storn42,Uncertain
Crimson Rider,32nd Jump-Streams,16th Jump-Gluts,16th Split-Jump-Jacks,16th Jacks,,storn42,Uncertain
Decadence,8th Split-Jump-Jacks,16th Mini-Jacks,8th Jump-Streams,32nd Rolls,32nd Bursts,storn42,Uncertain
Enlighten Me,16th Streams,32nd Bursts,,,,storn42,Uncertain
Erase Me,16th Jump-Streams,48th Bursts,24th Split-Jump-Jacks,,,storn42,Uncertain
Full Blown Meltdown,8th Jacks,8th Anchors,16th Jump-Streams,,,storn42,Uncertain
Give It All,8th Anchors,8th Jacks,16th Jump-Streams,64th Flams,,storn42,Uncertain
Haunted,16th Split-Jump-Jacks,16th Jacks,,,,storn42,Uncertain
Headbanger's Ballroom,Jump-Streams,24th Split-Jump-Trills,12th Anchors,12th Split-Jump-Jacks,,storn42,Uncertain
Heroes,16th Streams,8th Jacks,,,,storn42,Uncertain
Indestructible,16th Jacks,16th Hand-Streams,,,,storn42,Uncertain
Into the Arnea,16th Jump-Streams,8th Hand-Jacks,8th Split-Jump-Jacks,8th Jacks,24th Bursts,storn42,Uncertain
Like the Angel,16th Jump-Streams,8th Jacks,24th Bursts,32nd Flams,,storn42,Uncertain
Making Christmas,16th Jump-Streams,16th Jump-Trills,8th Jacks,16th One-Hand-Trills,,storn42,Uncertain
